,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"4,500",,2002,2012,친환경로,02682,00000,48860,01,0,3345036,산청읍 산청리,0193,0002,48860,25021,1,산청다우리,1,19,48860-1,29.78,,193-2,48860,6,,
1,"14,200",,2009,2012,친환경로,02563,00031,48860,03,0,3345036,금서면 매촌리,0181,0000,48860,34021,1,동이보금자리,1,5,48860-30,84.6063,,181,48860,7,,
2,"7,750",,1996,2012,원지강변로61번길,00024,00000,48860,01,0,4835254,신안면 하정리,0726,0003,48860,38021,1,원지대동타운,1,13,48860-8,59.85,,726-3,48860,4,,
0,"8,000",,1993,2012,웅석봉로,00072,00000,48860,01,0,3345028,산청읍 옥산리,0687,0001,48860,25022,1,성우목화맨션,2,20,48860-2,81.29,,687-1,48860,4,,
1,"5,850",,1993,2012,웅석봉로,00072,00000,48860,01,0,3345028,산청읍 옥산리,0687,0001,48860,25022,1,성우목화맨션,2,26,48860-2,59.94,,687-1,48860,2,,
2,"10,500",,2008,2012,꽃봉산로133번길,00012,00000,48860,01,0,4835021,산청읍 지리,0273,0000,48860,25023,1,허브리치,2,24,48860-28,84.9144,,273,48860,4,,
3,"5,500",,1991,2012,산엔청로,00048,00000,48860,01,0,3345018,산청읍 지리,0316,0000,48860,25023,1,삼영그린파크,2,25,48860-4,69.46,,316,48860,5,,
4,"15,100",,2009,2012,친환경로,02563,00031,48860,03,0,3345036,금서면 매촌리,0181,0000,48860,34021,1,동이보금자리,2,9,48860-30,84.5975,,181,48860,7,,
5,"15,500",,2009,2012,원지로4번길,00021,00000,48860,01,0,4835258,신안면 하정리,0738,0001,48860,38021,1,서전골든뷰,2,8,48860-33,84.3037,,738-1,48860,6,,
6,"8,300",,1996,2012,원지강변로61번길,00024,00000,48860,01,0,4835254,신안면 하정리,0726,0003,48860,38021,1,원지대동타운,2,18,48860-8,59.82,,726-3,48860,6,,
